question_text,id
Можно ли примерить одежду перед покупкой?,192
Есть ли у вас акции или скидки?,193
Как узнать о текущих акциях?,194
Есть ли у вас бонусная программа?,195
Как накопить бонусы?,196
Как использовать бонусы?,197
Есть ли у вас подарочные сертификаты?,198
Как активировать подарочный сертификат?,199
"Можно ли заказать товар, которого нет в наличии?",200
"Как узнать, когда появится товар в наличии?",201
Есть ли у вас список ожидания на товары?,202
Можно ли заказать индивидуальный пошив одежды?,203
Как связаться с вашей службой поддержки?,204
Есть ли у вас онлайн-чат для консультаций?,205
Какие у вас часы работы?,206
Есть ли у вас мобильное приложение?,207
Как подписаться на рассылку новостей?,208
Как отписаться от рассылки?,209
Есть ли у вас социальные сети?,210
Как оставить отзыв о товаре?,211
Какова ваша политика конфиденциальности?,212
Как защищены мои данные?,213
Есть ли у вас программы лояльности?,214
Можно ли получить скидку за рекомендацию друга?,215
Как оформить заказ?,216
Можно ли изменить заказ после оформления?,217
Как отменить заказ?,218
Есть ли у вас ограничения на количество товара в заказе?,219
Можно ли заказать товар с доставкой в другую страну?,220
Есть ли у вас таможенные сборы для международных заказов?,221
Какие у вас гарантии на товар?,222
"Что делать, если товар оказался бракованным?",223
"Как узнать, качественный ли товар?",224
Есть ли у вас отзывы и рейтинги на товары?,225
Как связаться с продавцом товара?,226
Есть ли у вас чат с консультантом по стилю?,227
Можно ли получить совет по стилю от ваших специалистов?,228
Есть ли у вас услуга поиска похожих товаров?,229
Можно ли заказать товар с персонализацией?,230
Есть ли у вас ограничения на возврат персонализированных товаров?,231
"Как узнать, подойдет ли товар по стилю?",232
Есть ли у вас советы по комбинированию одежды?,233
Можно ли заказать комплект одежды?,234
Есть ли у вас услуга подбора гардероба?,235
"Как узнать, какие товары сейчас в тренде?",236
Есть ли у вас раздел с новинками?,237
Как часто вы обновляете ассортимент?,238
Есть ли у вас ограниченные коллекции?,239
Можно ли заказать товар из прошлых коллекций?,240
Есть ли у вас распродажи?,241
Когда следующая распродажа?,242
Какие у вас условия для оптовых заказов?,243
Можно ли заказать товар для перепродажи?,244
Есть ли у вас партнерская программа?,245
Как стать партнером вашего магазина?,246
Есть ли у вас условия для сотрудничества с блогерами?,247
Можно ли заказать одежду с логотипом компании?,248
Есть ли у вас услуга разработки дизайна одежды?,249
Можно ли заказать каталог товаров?,250
Есть ли у вас услуга срочной доставки?,251
Можно ли заказать доставку в выходные?,252
Есть ли у вас пункты самовывоза?,253
Как найти ближайший пункт самовывоза?,254
Какой у вас размерный ряд?,255
Как узнать свой размер?,256
Есть ли у вас размерная сетка?,257
Как измерить параметры тела для одежды?,258
Какие материалы используются в вашей одежде?,259
Есть ли у вас одежда из экологически чистых материалов?,260
Как выбрать размер платья?,261
Как выбрать размер джинсов?,262
Как выбрать размер обуви?,263
Есть ли у вас одежда больших размеров?,264
Есть ли у вас одежда для беременных?,265
Есть ли у вас детская одежда?,266
Какие у вас размеры для детей?,267
Есть ли у вас мужская одежда?,268
Есть ли у вас женская одежда?,269
Есть ли у вас унисекс одежда?,270
Как ухаживать за одеждой?,271
Можно ли стирать одежду в стиральной машине?,272
Как гладить одежду?,273
Какая у вас политика возврата?,274
Как вернуть товар?,275
Сколько времени занимает обработка возврата?,276
Как обменять товар?,277
Можно ли вернуть товар без чека?,278
Какие способы оплаты вы принимаете?,279
Можно ли оплатить заказ наложенным платежом?,280
Можно ли оплатить заказ картой?,281
Есть ли у вас рассрочка или кредит?,282
Какие у вас сроки доставки?,283
Сколько стоит доставка?,284
Есть ли бесплатная доставка?,285
Как отследить заказ?,286
"Что делать, если заказ не пришел?",287
Можно ли изменить адрес доставки после оформления заказа?,288
Какие страны вы обслуживаете?,289
Есть ли у вас примерочные пункты?,290
Можно ли примерить одежду перед покупкой?,291
Есть ли у вас акции или скидки?,292
Как узнать о текущих акциях?,293
Есть ли у вас бонусная программа?,294
Как накопить бонусы?,295
Как использовать бонусы?,296
Есть ли у вас подарочные сертификаты?,297
Как активировать подарочный сертификат?,298
"Можно ли заказать товар, которого нет в наличии?",299
"Как узнать, когда появится товар в наличии?",300
Есть ли у вас список ожидания на товары?,301
Можно ли заказать индивидуальный пошив одежды?,302
Как связаться с вашей службой поддержки?,303
Есть ли у вас онлайн-чат для консультаций?,304
Какие у вас часы работы?,305
Есть ли у вас мобильное приложение?,306
Как подписаться на рассылку новостей?,307
Как отписаться от рассылки?,308
Есть ли у вас социальные сети?,309
Как оставить отзыв о товаре?,310
Какова ваша политика конфиденциальности?,311
Как защищены мои данные?,312
Есть ли у вас программы лояльности?,313
Можно ли получить скидку за рекомендацию друга?,314
Как оформить заказ?,315
Можно ли изменить заказ после оформления?,316
Как отменить заказ?,317
Есть ли у вас ограничения на количество товара в заказе?,318
Можно ли заказать товар с доставкой в другую страну?,319
Есть ли у вас таможенные сборы для международных заказов?,320
Какие у вас гарантии на товар?,321
"Что делать, если товар оказался бракованным?",322
"Как узнать, качественный ли товар?",323
Есть ли у вас отзывы и рейтинги на товары?,324
Как связаться с продавцом товара?,325
Есть ли у вас чат с консультантом по стилю?,326
Можно ли получить совет по стилю от ваших специалистов?,327
Есть ли у вас услуга поиска похожих товаров?,328
Можно ли заказать товар с персонализацией?,329
Есть ли у вас ограничения на возврат персонализированных товаров?,330
"Как узнать, подойдет ли товар по стилю?",331
Есть ли у вас советы по комбинированию одежды?,332
Можно ли заказать комплект одежды?,333
Есть ли у вас услуга подбора гардероба?,334
"Как узнать, какие товары сейчас в тренде?",335
Есть ли у вас раздел с новинками?,336
Как часто вы обновляете ассортимент?,337
Есть ли у вас ограниченные коллекции?,338
Можно ли заказать товар из прошлых коллекций?,339
Есть ли у вас распродажи?,340
Когда следующая распродажа?,341
Какие у вас условия для оптовых заказов?,342
Можно ли заказать товар для перепродажи?,343
Есть ли у вас партнерская программа?,344
Как стать партнером вашего магазина?,345
Есть ли у вас условия для сотрудничества с блогерами?,346
Можно ли заказать одежду с логотипом компании?,347
Есть ли у вас услуга разработки дизайна одежды?,348
Можно ли заказать каталог товаров?,349
Есть ли у вас услуга срочной доставки?,350
Можно ли заказать доставку в выходные?,351
Есть ли у вас пункты самовывоза?,352
Как найти ближайший пункт самовывоза?,353
